case_id,asmo,asmo_sent_id,sentence_id,para_id,judge,text,role,align,agree,outcome,ackn
1.19,22,19,18,3.5,slynn,"( b ) anything which is not a supply of goods but is done for a consideration ... is a supply of services . """,BACKGROUND,NONE,NONE,NONE,NONE
1.19,22,21,19,4,slynn,There is no suggestion in this case that if the Association does make a supply for a consideration it is other than a supply of services .,FRAMING,008,NONE,NONE,NONE
1.19,22,23,20,5,slynn,The Act has two other provisions which deal with the position of an Association .,FRAMING,NONE,NONE,NONE,NONE
1.19,22,24,21,5,slynn,"Section 46 empowers the Commissioners to make regulations determining by what persons anything required to be done under the Act is to be done "" where a business is carried on in partnership or by a club , association or organisation the affairs of which are managed by its members or a committee or committees of its members "" .",BACKGROUND,NONE,NONE,NONE,NONE
1.19,22,26,22,6,slynn,Section 94 provides that :,BACKGROUND,NONE,NONE,NONE,NONE
1.19,22,26,23,6.5,slynn,""" ( 1 ) In this Act "" business "" includes any trade , profession or vocation ;",BACKGROUND,NONE,NONE,NONE,NONE
1.19,22,26,24,6.5,slynn,"( 2 ) Without prejudice to the generality of anything else in this Act , the following are deemed to be the carrying on of a business -",BACKGROUND,NONE,NONE,NONE,NONE
1.19,22,26,25,6.5,slynn,"( a ) the provision by a club , association or organisation ( for a subscription or other consideration ) of the facilities or advantages available to its members ; """,BACKGROUND,NONE,NONE,NONE,NONE
1.19,22,27,26,7,slynn,"The 1994 version of the constitution of the Association provides for the management of the Association to be entrusted to an elected committee which is given power not only to deal with admissions to and expulsion from membership and to determine the contributions of members to the expenses of the Association but also to determine such matters as the number of employees required , to appoint sub-committees for special purposes and generally to manage "" the affairs "" of the Association .",FACT,004,NONE,NONE,NONE
1.19,22,29,27,8,slynn,Many of the articles of the 1994 Constitution repeat what was in the 1991 Constitution .,FACT,NONE,NONE,NONE,NONE
1.19,22,30,28,8,slynn,But there are differences deliberately introduced with VAT liability in mind and which the Association submits are not only important but crucial .,FACT,NONE,NONE,NONE,NONE
1.19,22,31,29,8,slynn,It is therefore necessary to consider these in some detail .,FACT,NONE,NONE,NONE,NONE
1.19,22,33,30,9,slynn,Thus para 3 of the 1991 Constitution provides that :,FACT,NONE,NONE,NONE,NONE
1.19,22,33,31,9.5,slynn,""" The purposes for which the Association is established are the following : -",FACT,NONE,NONE,NONE,NONE
1.19,22,33,32,9.5,slynn,( a ) To provide for the members of the Association premises from which there shall be conducted the businesses of the members as independently contracting private car hire drivers .,FACT,NONE,NONE,NONE,NONE
1.19,22,34,33,9.5,slynn,"( b ) To provide by means of wireless telecommunications , telephone and such other means as may from time to time be deemed desirable , such communications network for the advancement of the members ' business as may be appropriate .",FACT,005,NONE,NONE,NONE
1.19,22,35,34,9.5,slynn,"( c ) To employ such Manager , telephonist and other staff as may , from time to time , be desirable .",FACT,005,NONE,NONE,NONE
1.19,22,36,35,9.5,slynn,"( d ) To conduct for and on behalf of the members from time to time , such negotiations and activities as may be deemed to be in the interests of the members in connection with their said businesses .",FACT,NONE,NONE,NONE,NONE
1.19,22,37,36,9.5,slynn,"( e ) To do all other things as may from time to time , in the opinion of the Association , or of the Committee of the Association be deemed desirable and opportune for the development of the business interests of the members . """,FACT,NONE,NONE,NONE,NONE
1.19,22,39,37,10,slynn,The Constitution further provides : -,FACT,NONE,NONE,NONE,NONE
1.19,22,39,38,10.5,slynn,""" 23 .",FACT,NONE,NONE,NONE,NONE
1.19,22,40,39,10.5,slynn,The Committee shall have power : -,FACT,NONE,NONE,NONE,NONE
1.19,22,40,40,10.5,slynn,( a ) generally to manage the affairs of the Association in accordance with the rules and bye-laws ;,FACT,NONE,NONE,NONE,NONE
1.19,22,40,41,10.5,slynn,"( b ) to appoint from their number sub-committees for special purposes and to delegate to them any of the powers of the Committee except those of electing and expelling and making , altering or revoking bye-laws "" .",FACT,NONE,NONE,NONE,NONE
1.19,22,41,42,10.5,slynn,""" 27 .",FACT,NONE,NONE,NONE,NONE
1.19,22,42,43,10.5,slynn,"At the Annual General Meeting any member may propose a new rule or bye-law or alteration or deletion of any existing rule or bring before the meeting any subject or proposal which relates to the affairs of the Association , provided that by not less than seven days before the meeting he shall have given the Secretary notice thereof in writing "" .",FACT,NONE,NONE,NONE,NONE
1.19,22,44,44,11,slynn,These were replaced in the 1994 Constitution which contains the following paragraphs :,FACT,NONE,NONE,NONE,NONE
1.19,22,44,45,11.5,slynn,""" 3 .",FACT,NONE,NONE,NONE,NONE
1.19,22,45,46,11.5,slynn,The purposes for which the Association is established are the following : -,FACT,NONE,NONE,NONE,NONE
1.19,22,45,47,11.5,slynn,"( a ) The employment by the members of such manager telephonist and other staff as may , from time to time , be desirable .",FACT,005,NONE,NONE,NONE
1.19,22,46,48,11.5,slynn,"( b ) To facilitate the supply by third parties to members as joint principals of the use of telephone equipment and such other services , goods and facilities as may be required by the members including ( but not to the exclusion of any other services )",FACT,005,NONE,NONE,NONE
1.19,22,46,49,11.5,slynn,i ) Advertising and promotion,FACT,NONE,NONE,NONE,NONE
1.19,22,46,50,11.5,slynn,ii ) Post and stationery .,FACT,NONE,NONE,NONE,NONE
1.19,22,47,51,11.5,slynn,iii ) Insurance ( but not insurance of vehicles belonging to members ) .,FACT,NONE,NONE,NONE,NONE
1.19,22,48,52,11.5,slynn,iv ) Computers .,FACT,NONE,NONE,NONE,NONE
1.19,22,49,53,11.5,slynn,v ) Radio facilities .,FACT,NONE,NONE,NONE,NONE
1.19,22,50,54,11.5,slynn,4 .,FACT,NONE,NONE,NONE,NONE
1.19,22,51,55,11.5,slynn,The Association shall carry out its activities upon a non-profit making basis .,NONE,003,NONE,NONE,NONE
1.19,22,52,56,11.5,slynn,5 .,NONE,NONE,NONE,NONE,NONE
1.19,22,53,57,11.5,slynn,The entire income and property of the Association shall be applied solely towards the promotion of the purposes set out in paragraph 3 above .,FACT,NONE,NONE,NONE,NONE
1.19,22,54,58,11.5,slynn,"No portion shall be paid or transferred to the persons who at any time are or have been members of the Association or to any of them , or to any person claiming through any of them .",FACT,NONE,NONE,NONE,NONE
1.19,22,55,59,11.5,slynn,7 .,FACT,NONE,NONE,NONE,NONE
1.19,22,56,60,11.5,slynn,( g ) Each member shall contribute such weekly or other periodical sum as the Committee shall from time to time resolve on account of his Share of the expenses of the Association .,FACT,NONE,NONE,NONE,NONE
1.19,22,57,61,11.5,slynn,23 .,FACT,NONE,NONE,NONE,NONE
1.19,22,58,62,11.5,slynn,The Committee shall have power : -,FACT,004,NONE,NONE,NONE
1.19,22,58,63,11.5,slynn,( a ) Generally to manage the affairs of the Association as agents for the members in accordance with the rules and bye-laws ;,FACT,004,NONE,NONE,NONE
1.19,22,58,64,11.5,slynn,"( b ) To appoint from their number sub-committees for special purposes and to delegate to them any of the powers of the Committee except those of electing and expelling and making , altering or revoking bye-laws .",FACT,NONE,NONE,NONE,NONE
1.19,22,59,65,11.5,slynn,34 .,FACT,NONE,NONE,NONE,NONE
1.19,22,60,66,11.5,slynn,The Committee shall keep all proper and necessary records of all receipts and payments taken or made by them on behalf of the Association or its members and shall present an audited account thereof at the Annual General Meeting and the same shall be at the expense of the members of the Association .,FACT,NONE,NONE,NONE,NONE
1.19,22,61,67,11.5,slynn,The total expenses of the Association thus ascertained will be divided equally among the members .,FACT,NONE,NONE,NONE,NONE
1.19,22,62,68,11.5,slynn,Any member who has been a member for only a part of the period covered by the account shall be allocated a rateable proportion of the total epenses computed on a time basis .,FACT,NONE,NONE,NONE,NONE
1.19,22,63,69,11.5,slynn,At the same time every member will receive a statement of his account with the Association covering the same period in which he will be charged his share of the total expenses and credited with the contributions he has made in accordance with clause 7 ( g ) above .,FACT,NONE,NONE,NONE,NONE
1.19,22,64,70,11.5,slynn,The balance of each member 's account at the end of the period may be dealt with by reduction or increase or such member 's future contribution or in any other manner at the discretion of the Committee including demand for immediate payment of any debit balance in the books of the Association .,FACT,NONE,NONE,NONE,NONE
1.19,22,65,71,11.5,slynn,"The Association shall obtain goods and services in accordance with this Constitution as agent for the members jointly "" .",FACT,001,NONE,NONE,NONE
1.19,22,66,72,11.5,slynn,42 .,FACT,NONE,NONE,NONE,NONE
1.19,22,67,73,11.5,slynn,"In the Driver 's Rules attached to this Constitution the word ' subscription ' shall be read as if it referred to the contributions on account of expenses described in this Constitution under paragraph 7 ( g ) "" .",FACT,NONE,NONE,NONE,NONE
1.19,22,69,74,12,slynn,Other changes may arguably point in the same direction of transferring the business from that of the Association to that of the members .,FACT,NONE,NONE,NONE,NONE
1.19,22,70,75,12,slynn,Thus para 7 ( g ) in 1991,FACT,NONE,NONE,NONE,NONE
1.19,22,70,76,12.5,slynn,""" Each member shall contribute such weekly or other periodcial sum as the Committee shall from time to time resolve for the purposes of fulfilling the expenses of the Association """,FACT,NONE,NONE,NONE,NONE
1.19,22,70,77,12.5,slynn,became in 1994,FACT,NONE,NONE,NONE,NONE
1.19,22,70,78,12.5,slynn,""" ( g ) Each member shall contribute such weekly or other periodical sum as the Committee shall from time to time resolve on account of his share of the expenses of the Association . """,FACT,NONE,NONE,NONE,NONE
1.19,22,71,79,12.5,slynn,I doubt however whether there is any real difference between them .,FRAMING,NONE,NONE,NONE,NONE
1.19,22,73,80,13,slynn,But Mr Smouha contends that the emphasis in the clauses to which I have referred on the members rather than on the Association fundamentally changes the position in regard to VAT .,PROCEEDINGS,NONE,NONE,NONE,NONE
1.19,22,74,81,13,slynn,"He further relies on the terms of the "" Statement of Conditions of Service "" under the Employment Protection ( Consolidation ) Act 1978 which is given to employees who normally work 16 hours per week or more .",PROCEEDINGS,NONE,NONE,NONE,NONE
1.19,22,75,82,13,slynn,"In that document the employer is stated to be "" each of the members for the time being of Eastbourne Town Radio Cars Association "" .",PROCEEDINGS,NONE,NONE,NONE,NONE
1.19,22,77,83,14,slynn,The issue is thus whether that is enough to remove VAT liability from the Association bearing in mind that :,FRAMING,NONE,NONE,NONE,NONE
1.19,22,77,84,14.5,slynn,""" First , as I have already said , the concept of ' supply ' for the purposes of VAT is not identical with that of contractual obligation .",FRAMING,NONE,NONE,NONE,NONE
1.19,22,78,85,14.5,slynn,"Secondly , in consequence , it is perfectly possible that although the parties in any given situation may conclude their contractual arrangements in writing so as to define all their mutual rights and obligations arising in private law , their agreement may nevertheless leave open to question , what is the nature of the supplies made by A to B for the purposes of A 's assessment of VAT .",FRAMING,NONE,NONE,NONE,NONE
1.19,22,79,86,14.5,slynn,"In many situations , of course , the contract will on the facts conclude any VAT issue , as where there is a simple agreement for the supply of goods or services with no third parties involved .",FRAMING,NONE,NONE,NONE,NONE
1.19,22,80,87,14.5,slynn,In cases of that kind there is no space between the issue of supply for VAT purposes and the nature of the private law of contractual obligation .,FRAMING,NONE,NONE,NONE,NONE
1.19,22,81,88,14.5,slynn,"But that is a circumstance , not a rule .",FRAMING,NONE,NONE,NONE,NONE
1.19,22,82,89,14.5,slynn,"There may be cases , generally ( perhaps always ) where three or more parties are concerned , in which the contract 's definition ( however exhaustive ) of the parties ' private law obligations nevertheless neither caters for nor concludes the statutory question , what supplies are made by whom to whom .",FRAMING,NONE,NONE,NONE,NONE
1.19,22,83,90,14.5,slynn,"Nor should this be a matter for surprise : in principle , the incidence of VAT is obviously not by definition regulated by private agreement .",FRAMING,NONE,NONE,NONE,NONE
1.19,22,84,91,14.5,slynn,"Whether and to what extent the tax falls to be exacted depends , as with every tax , on the application of the taxing statute to the particular facts .",FRAMING,NONE,NONE,NONE,NONE
1.19,22,85,92,14.5,slynn,"Within those facts , the terms of contracts entered into by the tax - payer may or may not determine the right tax result .",FRAMING,NONE,NONE,NONE,NONE
1.19,22,86,93,14.5,slynn,"They do not necessarily do so "" .",FRAMING,NONE,NONE,NONE,NONE
1.19,22,87,94,14.5,slynn,"( Commissioners of Customs and Excise v Reed Personnel Services Ltd [ 1995 ] STC 588 , 595 per Laws J )",FRAMING,NONE,NONE,NONE,NONE
1.19,22,88,95,15,slynn,"It is also right to bear in mind the approach of Advocate General Jacobs in H J Glawe Spiel-und Unterhaltungsgeräte Aufstellungsgesellschaft mbH & Co KG v Finanzamt Hamburg-Barmbek-Uhlenhorst ( Case C-38 / 93 ) [ 1994 ] STC 543 , 547 , para 18 , where he said , in relation to a claim that tax was chargeable on the whole amount put into a gaming machine rather than on the net receipt after winnings had been taken :",FRAMING,NONE,NONE,NONE,NONE
1.19,22,88,96,15.5,slynn,""" that view is inconsistent with the commercial reality of the transaction . . . for all practical purposes the operator 's turnover consists in the amounts he is able to remove from the machine , and not in the total amounts inserted by players "" .",FRAMING,NONE,NONE,NONE,NONE
1.19,22,90,97,16,slynn,"The importance of "" the commercial reality , and not straying outside the four corners of the contract "" was also stressed in Commissioners of Customs and Excise v Sinclair Collis Ltd [ 1999 ] STC 701 , 708 , para 7 .",FRAMING,NONE,NONE,NONE,NONE
1.19,22,92,98,17,slynn,If the terms of the 1994 Constitution and the Statement are looked at only as a matter of contract between the various drivers and the employees it may well be that since the Association is not a legal entity the employers would be the various drivers from time to time and the rights and obligations of the drivers would depend only on the contract between them .,FRAMING,NONE,NONE,NONE,NONE
1.19,22,93,99,17,slynn,In such a case the Association would be acting as agent for the drivers ; it would hold property in trust for the drivers and the drivers would be individually or jointly liable to third parties for what they did or what was done on their behalf .,FRAMING,NONE,NONE,NONE,NONE
1.19,22,95,100,18,slynn,"In the context of liability to register for and to pay VAT , however , the starting point is the provision of section 94 ( 2 ) ( a ) of the Act .",FRAMING,NONE,NONE,NONE,NONE
1.19,22,96,101,18,slynn,"When an Association provides , for a subscription or other consideration , facilities or advantages available to its members , such provision is "" deemed to be the carrying on of a business "" .",FRAMING,NONE,NONE,NONE,NONE
1.19,22,97,102,18,slynn,That does not of itself mean that the Association is automatically making a taxible supply but it does mean that the Association is carrying on a business and can be within the scope of value added tax .,FRAMING,NONE,NONE,NONE,NONE
1.19,22,98,103,18,slynn,The intention of the Act is plainly that the activities of an Association should not be excluded from VAT merely because it was unincorporated and not a legal person .,FRAMING,NONE,NONE,NONE,NONE
1.19,22,100,104,19,slynn,It is plain that here there is an ' association ' within the meaning of the Act .,FRAMING,008,NONE,NONE,NONE
1.19,22,101,105,19,slynn,If there were any doubt about that it is at least an ' organisation ' .,FRAMING,NONE,NONE,NONE,NONE
1.19,22,102,106,19,slynn,"The Association has members , a committee and a chairman .",FACT,NONE,NONE,NONE,NONE
1.19,22,103,107,19,slynn,It has rules binding on the members which govern the activities of the Association and its members .,FACT,NONE,NONE,NONE,NONE
1.19,22,104,108,19,slynn,There is provided an infrastructure for the provision of the various services .,FACT,NONE,NONE,NONE,NONE
1.19,22,105,109,19,slynn,The Association through its committee controls admissions and the discipline and removal of members .,FACT,NONE,NONE,NONE,NONE
1.19,22,106,110,19,slynn,The Association is empowered to invest money .,FACT,NONE,NONE,NONE,NONE
1.19,22,107,111,19,slynn,Only members of the Association are entitled to benefit from the activity of the Association .,FACT,NONE,NONE,NONE,NONE
1.19,22,108,112,19,slynn,"The members pay a joining subscription of # 50 or such other fee as shall be fixed by the Association in general meeting and they also pay a periodical sum fixed by the Association 's committee on account of the members ' share "" of the expenses of the Association "" ( article 7 ( g ) ) In the Drivers ' Rules attached to the Constitution the word "" subscription "" is taken to refer to such contributions on account of expenses ( article 42 ) .",FACT,NONE,NONE,NONE,NONE
1.19,22,109,113,19,slynn,The subscriptions are paid direct to the Association and they do not go to other members who are said to provide the employees .,FACT,NONE,NONE,NONE,NONE
1.19,22,110,114,19,slynn,"A member 's share of the expenses is not calculated on specific services rendered for him - e.g. in arranging a particular journey - but on the total expenses for the year divided amongst the members and "" any member who has been a member for only a part of the period covered by the account shall be allocated a rateable proportion of the total expenses computed on a time basis "" ( article 34 ) .",FACT,NONE,NONE,NONE,NONE
1.19,22,111,115,19,slynn,"The subscription for 1994 included in each case a higher amount than the allocated share of expenses , the balance to be carried forward to the following year .",FACT,NONE,NONE,NONE,NONE
1.19,22,113,116,20,slynn,It is to be noted that although the members are said in the statement of conditions of service to be the employer ( which in itself creates difficulties of identification ) the document is signed on behalf of the Association .,FACT,NONE,NONE,NONE,NONE
1.19,22,114,117,20,slynn,"Normal working hours are "" likely to be variable as agreed by yourself and the Association "" ; grievance and disciplinary procedures are to be carried out by committee members and members of the Association . """,FACT,NONE,NONE,NONE,NONE
1.19,22,115,118,20,slynn,The Association does not condone unnotified lateness or absenteeism .,FACT,NONE,NONE,NONE,NONE
1.19,22,116,119,20,slynn,"It puts undue pressure on other employees to cover duties , and expense to the Association if a driver has to be used instead "" .",FACT,NONE,NONE,NONE,NONE
1.19,22,118,120,21,slynn,"It seems to me that the joining subscription and the share of expenses paid constitute consideration for what is done by the Association in engaging staff ( whether as employees of the Association or the members ) on the terms of the Association 's constitition , in providing through the staff engaged the operation of a radio or telephone system to link customers to drivers , in advertising , procuring insurance and otherwise .",FRAMING,007,NONE,NONE,NONE
1.19,22,119,121,21,slynn,"The Association is reimbursed by the members for the services supplied and there is a direct link between the services and the payment as required by Apple and Pear Development Council v Commissioners of Customs and Excise ( Case 102/86 ) [ 1988 ] STC 221 , 234 , 237 .",FRAMING,NONE,NONE,NONE,NONE
1.19,22,121,122,22,slynn,This is in my view so even though the sum is fixed annually and not by individual services specifically charged for .,FRAMING,NONE,NONE,NONE,NONE
1.19,22,122,123,22,slynn,What is done thus constitutes the provision by an association for consideration of facilities or advantages available to members of the Association .,DISPOSAL,008,NONE,NONE,NONE
1.19,22,123,124,22,slynn,It thus is deemed to be the carrying on of a business by the Association .,DISPOSAL,009,NONE,NONE,NONE
1.19,22,124,125,22,slynn,In the course of its business the Association makes supplies of services ( section 5 ( 2 ) ( b ) ) to its members .,FACT,010,NONE,NONE,NONE
1.19,22,125,126,22,slynn,That supply is not an exempt supply .,DISPOSAL,010,NONE,NONE,NONE
1.19,22,126,127,22,slynn,It is therefore a taxable supply ( see section 4 ( 2 ) ) .,DISPOSAL,010,NONE,NONE,NONE
1.19,22,127,128,22,slynn,Since the quantity of such supplies exceeds the threshhold figure for the payment of VAT ( Schedule 1 to the Act ) the Association is required to be registered ; it is therefore a taxable person : section 3 ( 1 ) .,DISPOSAL,011,NONE,NONE,NONE
1.19,22,128,129,22,slynn,The circle is thus complete - there is a taxable supply made by a taxable person in the course or furtherance of a business carried on by the Association .,DISPOSAL,012,NONE,NONE,NONE
1.19,22,129,130,22,slynn,VAT is chargeable .,DISPOSAL,013,NONE,NONE,NONE
1.19,22,131,131,23,slynn,It seems to me that this is not simply the provision of services by the Association as an administrative intermediary as the Association contends .,FRAMING,NONE,NONE,NONE,NONE
1.19,22,132,132,23,slynn,Morevover there is not simply a sharing of expenses between two bodies as in Durham Aged Mineworkers ' Homes Association v Commissioners of Customs and Excise [ 1994 ] STC 553 upon which Mr Smouha strongly relied and the correctness of which decision on its own facts I do not doubt .,FRAMING,NONE,NONE,NONE,NONE
1.19,22,133,133,23,slynn,Nor does this case raise the same issues as those decided by your Lordship 's House in Nell Gwynn House Maintenance Fund Trustees v Commissioners of Customs and Excise [ 1999 ] 1 WLR 174 which reversed the decision of the Court of Appeal [ 1996 ] STC 310 to which the Courts below referred .,FRAMING,NONE,NONE,NONE,NONE
1.19,22,135,134,24,slynn,"Such a conclusion is not contrary to what was said by Lord Russell of Kilowen in Commissioners of Inland Revenue v His Grace the Duke of Westminster [ 1936 ] AC 1 , 24 .",FRAMING,NONE,NONE,NONE,NONE
1.19,22,136,135,24,slynn,On the contrary it is within the letter and spirit of the Act which implements the result intended in the Sixth VAT Directive ( Council Directive 77/388 / EEC of 17 May 1997 ) .,FRAMING,NONE,NONE,NONE,NONE
1.19,22,137,136,24,slynn,It also fully reflects the commercial reality whatever the drafting changes in the Association 's constitution as to the providing of service for the drivers .,FRAMING,NONE,NONE,NONE,NONE
1.19,22,138,137,24,slynn,It follows that in my opinion in this case the Court of Appeal reached the right conclusion .,DISPOSAL,002,NONE,NONE,NONE
1.19,22,139,138,24,slynn,Whether an unincorporated association or group can in other circumstances achieve the result that VAT is not payable it is not necessary to consider .,DISPOSAL,NONE,NONE,NONE,NONE
1.19,22,140,139,24,slynn,Each case has to be looked at on its own facts and circumstances .,DISPOSAL,NONE,NONE,NONE,NONE
1.19,22,142,140,25,slynn,Accordingly I would dismiss the appeal .,DISPOSAL,002,NONE,3,NONE
1.19,22,144,141,25.5,hoffmann,LORD HOFFMANN,TEXTUAL,NONE,NONE,NONE,NONE
1.19,22,145,142,25.5,hoffmann,"My Lords ,",TEXTUAL,NONE,NONE,NONE,NONE
1.19,22,147,143,26,hoffmann,"The issue in this case is whether the Eastbourne Town Radio Cars Association ( "" the Association "" ) is for the purposes of VAT a taxable person making taxable supplies of services to its members , who are independent car hire drivers .",FRAMING,NONE,NONE,NONE,NONE
1.19,22,148,144,26,hoffmann,The Association is unincorporated .,FACT,NONE,NONE,NONE,NONE
1.19,22,149,145,26,hoffmann,"It has a constitution which contains a statement of its objects ( the employment by the members of a manager , telephonist and other staff to provide a communications network for putting customers in contact with drivers and ancillary purposes ) , provisions for admission to membership , governance ( by an elected committee ) and subscriptions by periodic payments , subject to adjustment so as to divide the expenses among the members .",FACT,NONE,NONE,NONE,NONE
1.19,22,150,146,26,hoffmann,"The committee have power to make bye-laws for the internal management of the Association , including the terms and conditions on which members may avail themselves of the services provided by the Association .",FACT,NONE,NONE,NONE,NONE
1.19,22,152,147,27,hoffmann,Section 4 ( 1 ) of the Value Added Tax Act 1994 provides :,BACKGROUND,NONE,NONE,NONE,NONE
1.19,22,152,148,27.5,hoffmann,""" VAT shall be charged on any supply of goods or services made in the United Kingdom , where it is a taxable supply made by a taxable person in the course or furtherance of any business carried on by him . """,BACKGROUND,NONE,NONE,NONE,NONE
1.19,22,154,149,28,hoffmann,So the issue divides into two .,FRAMING,NONE,NONE,NONE,NONE
1.19,22,155,150,28,hoffmann,"First , is the Association a taxable person ?",FRAMING,NONE,NONE,NONE,NONE
1.19,22,156,151,28,hoffmann,"Secondly , is it making a taxable supply to its members in the course or furtherance of a business which it carries on ?",FRAMING,NONE,NONE,NONE,NONE
1.19,22,158,152,29,hoffmann,There is no doubt that the Association is a person .,FRAMING,NONE,NONE,NONE,NONE
1.19,22,159,153,29,hoffmann,"The term is not defined in the Act but Schedule 1 to the Interpretation Act 1978 provides that "" person "" includes a body of persons corporate or unincorporate .",BACKGROUND,NONE,NONE,NONE,NONE
1.19,22,160,154,29,hoffmann,"For the purposes of VAT , the question is put beyond doubt by the terms of section 94 ( 2 ) ( a ) of the Act , which provides :",BACKGROUND,NONE,NONE,NONE,NONE
1.19,22,160,155,29.5,hoffmann,""" Without prejudice to the generality of anything else in this Act , the following are deemed to be the carrying on of a business -",BACKGROUND,NONE,NONE,NONE,NONE
1.19,22,160,156,29.5,hoffmann,"( a ) the provision by a club , association or organisation ( for a subscription or other consideration ) of the facilities or advantages available to its members ... """,BACKGROUND,NONE,NONE,NONE,NONE
1.19,22,161,157,30,hoffmann,"On its face , this provision does no more than deem certain activities to be the carrying on of a business when they might not otherwise be so regarded .",BACKGROUND,NONE,NONE,NONE,NONE
1.19,22,162,158,30,hoffmann,"It enables a taxable supply made by a taxable person , which otherwise might have been thought to fall outside section 4 ( 1 ) because it was not in the course or furtherance of a business , to be brought within it .",BACKGROUND,NONE,NONE,NONE,NONE
1.19,22,163,159,30,hoffmann,It therefore obviously assumes that the provision of facilities by a club etc to its members can amount to a taxable supply by a taxable person .,BACKGROUND,NONE,NONE,NONE,NONE
1.19,22,164,160,30,hoffmann,"This confirms the construction which the Interpretation Act gives to "" person "" in the term "" taxable person "" .",BACKGROUND,NONE,NONE,NONE,NONE
1.19,22,166,161,31,hoffmann,"The next stage is to ask whether the Association is not only a person but a "" taxable person "" .",FRAMING,NONE,NONE,NONE,NONE
1.19,22,167,162,31,hoffmann,"But this turns out to be linked with the second question about whether the Association is making taxable supplies to its members , because a taxable person is defined as a person who is , or is required to be , registered for VAT ( section 3 ( 1 ) ) and a person is required to be registered ( subject to a minimum turnover requirement and other immaterial qualifications ) if he is making taxable supplies : see Schedule 1 .",FRAMING,NONE,NONE,NONE,NONE
1.19,22,168,163,31,hoffmann,So the critical question is whether the Association is making taxable supplies to its members .,FRAMING,NONE,NONE,NONE,NONE
1.19,22,169,164,31,hoffmann,"If so , it is a taxable person .",FRAMING,NONE,NONE,NONE,NONE
1.19,22,170,165,31,hoffmann,"In fact , the question may be even narrower , because Mr Smouha ( who appeared for the Association ) said that unless the facilities provided by the persons employed on behalf of the members of the Association were a taxable supply to its members , the consideration for the other facilities would be insufficient to bring the Association within the registration requirement .",PROCEEDINGS,NONE,NONE,NONE,NONE
1.19,22,171,166,31,hoffmann,So the question is whether the Association is making a taxable supply by providing its members with the services of its employees or the right to avail themselves of those services .,FRAMING,NONE,NONE,NONE,NONE
1.19,22,174,167,32,hoffmann,"My Lords , an unincorporated association is , as I have said , not a legal entity .",BACKGROUND,NONE,NONE,NONE,NONE
